Country,CapitalCity,Cap_Population,AvgCityPopulation
"South Korea",Seoul,9981619,557141.3286
Indonesia,Jakarta,9604900,441008.1765
Mexico,"Ciudad de México",8591309,345390.2948
"Russian Federation",Moscow,8389200,365876.7196
Japan,Tokyo,7980230,314375.4315
China,Peking,7472000,484720.6997
"United Kingdom",London,7285000,276995.9630
Egypt,Cairo,6789479,542785.9189
Iran,Teheran,6758845,388552.0896
Peru,Lima,6464693,552147.3636
Thailand,Bangkok,6320174,662763.4167
Colombia,"Santafé de Bogotá",6260862,532920.7895
"Congo, The Democratic Republic of the",Kinshasa,5064000,548034.1667
Chile,"Santiago de Chile",4703954,335102.4138
Iraq,Baghdad,4336000,595069.4000
Bangladesh,Dhaka,3612850,357079.4167
Germany,Berlin,3386667,282209.4946
Myanmar,"Rangoon (Yangon)",3361700,387687.5000
"Saudi Arabia",Riyadh,3324000,443195.8333
Turkey,Ankara,3038159,456887.5484
Argentina,"Buenos Aires",2982146,350816.8947
Spain,Madrid,2879052,282528.6271
Italy,Roma,2643581,260121.0172
Taiwan,Taipei,2641312,323079.4286
Ukraine,Kyiv,2624000,352175.4386
Ethiopia,"Addis Abeba",2495000,455762.0000
"North Korea",Pyongyang,2484000,498211.6154
Kenya,Nairobi,2290000,440349.1250
Cuba,"La Habana",2256000,330708.9286
Algeria,Alger,2168000,288454.3889
France,Paris,2125246,231112.3500
Uzbekistan,Toskent,2117500,304935.2941
Angola,Luanda,2022000,512320.0000
Romania,Bucuresti,2016131,257551.9310
Venezuela,Caracas,1975294,298807.0976
Brazil,Brasília,1969868,343507.4480
Hungary,Budapest,1811552,328145.5556
Azerbaijan,Bakı,1787800,616000.0000
Afghanistan,Kabul,1780000,583025.0000
"Libyan Arab Jamahiriya",Tripoli,1682000,674251.7500
Belarus,Minsk,1674000,296312.5000
Poland,Warszawa,1615369,265623.4318
"Dominican Republic","Santo Domingo de Guzmán",1609966,406379.3333
Austria,Wien,1608144,397378.8333
Philippines,Manila,1581082,227461.6985
Ecuador,Quito,1573458,382942.8000
Vietnam,Hanoi,1410000,425673.3182
Zimbabwe,Harare,1410000,455070.0000
Cameroon,Yaoundé,1372800,503222.0000
Syria,Damascus,1347000,407071.2727
Zambia,Lusaka,1317000,353357.1429
Malaysia,"Kuala Lumpur",1297526,255841.1667
Armenia,Yerevan,1248700,544366.6667
Georgia,Tbilisi,1235200,376180.0000
Yugoslavia,Beograd,1204000,273688.3750
"Czech Republic",Praha,1181126,263471.1000
Bulgaria,Sofija,1122302,269691.5000
Lebanon,Beirut,1100000,670000.0000
Ghana,Accra,1070000,363977.8000
Mozambique,Maputo,1018938,261928.7500
Jordan,Amman,1000000,369535.4000
Somalia,Mogadishu,997000,392333.3333
Nicaragua,Managua,959000,317305.7500
Congo,Brazzaville,950000,725000.0000
Sudan,Khartum,947483,396015.5833
Haiti,Port-au-Prince,884472,379334.5000
"Burkina Faso",Ouagadougou,824000,409666.6667
Guatemala,"Ciudad de Guatemala",823301,306297.0000
Honduras,Tegucigalpa,813900,429000.0000
Senegal,Dakar,785071,307828.6667
Greece,Athenai,772072,246605.3750
Latvia,Riga,764328,322865.3333
Bolivia,"La Paz",758141,422330.5000
Sweden,Stockholm,750348,192762.0667
Netherlands,Amsterdam,731200,185001.7500
Moldova,Chisinau,719900,298325.0000
Croatia,Zagreb,706770,292220.7500
Tunisia,Tunis,690600,224812.5000
Madagascar,Antananarivo,675669,224632.2000
Mauritania,Nouakchott,667300,382450.0000
"South Africa",Pretoria,658630,345372.0455
"Sri Lanka",Colombo,645000,220714.2857
Israel,Jerusalem,633700,200928.5714
Morocco,Rabat,623457,398071.0000
Nepal,Kathmandu,591835,226480.6000
Kyrgyzstan,Bishkek,589400,406050.0000
Lithuania,Vilnius,577969,294663.4000
"United States",Washington,572059,286955.3796
Cambodia,"Phnom Penh",570155,268351.6667
Portugal,Lisboa,563210,229002.2000
Paraguay,Asunción,557776,204004.0000
Finland,"Helsinki [Helsingfors]",555474,218988.4286
Turkmenistan,Ashgabat,540600,243150.0000
Laos,Vientiane,531800,314226.0000
Chad,N´Djaména,530965,315232.5000
Tajikistan,Dushanbe,524000,342750.0000
Norway,Oslo,508726,220005.6000
Yemen,Sanaa,503600,290616.6667
Denmark,København,495699,243189.0000
Ireland,Dublin,481854,304520.5000
Panama,"Ciudad de Panamá",471373,393377.5000
Slovakia,Bratislava,448292,261381.0000
"Puerto Rico","San Juan",434374,173797.1111
Niger,Niamey,420000,217952.3333
"El Salvador","San Salvador",415346,162604.4286
Estonia,Tallinn,403981,252613.5000
"United Arab Emirates","Abu Dhabi",398695,345667.2000
"Bosnia and Herzegovina",Sarajevo,360000,199702.0000
Palestine,Gaza,353632,150393.3333
Nigeria,Abuja,350100,271357.8125
Canada,Ottawa,335277,258649.7959
Kazakstan,Astana,311200,261152.3810
Slovenia,Ljubljana,270986,193259.0000
Botswana,Gaborone,213017,157411.0000
Cyprus,Nicosia,195000,174700.0000
Mauritius,Port-Louis,138200,112426.6667
